姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
林耀英家族,先生,90,125,119,大立光,电子元件
刘锋、林旭燕夫妇,先生,53,125,2,永锋,钢铁
尚吉永,先生,55,125,43,万达控股,轮胎、电缆、化工
邵根伙,先生,58,125,-51,大北农,饲料、种业
石毅峰,先生,49,125,-72,爱美客,生物制药
唐修国,先生,60,125,23,三一,重型机械
王林祥,先生,72,125,-14,鄂尔多斯,羊绒、煤电、冶金、房地产
王文默,先生,67,125,23,安踏,体育用品
肖安江,先生,60,125,New ~,五江轻化,钛合金、保温容器
肖自江,先生,73,125,New ~,五江轻化,钛合金、保温容器
姚奎章,先生,58,125,189,养元饮品,饮料
袁志伦,先生,59,125,23,博赛矿业,矿业
陈先保家族,先生,64,120,-61,华泰,农副食品加工业
董凡,先生,53,120,-231,健帆生物,生物医疗设备
董伟,先生,52,120,72,恒瑞,医药
金惠明家族,先生,70,120,2,大华,房地产
金磊、李凤玲夫妇,先生,69,120,46,佰仁医疗,医疗器械
寇晓康、高月静夫妇,先生,56,120,129,蓝晓科技,新材料
李宁,先生,60,120,-61,李宁,体育用品、投资
励民,先生,58,120,-61,瑞芯微,集成电路
梁亮胜,先生,72,120,22,丝宝,日化、投资
林来嵘、安素梅夫妇,先生,55,120,46,众兴,矿业
梅志明,先生,51,120,-19,普洛斯,物流地产、投资
潘政民家族,先生,56,120,72,瑞声科技,消费电子精密件
孙宏斌,先生,60,120,-205,融创,房地产
吴美蓉家族,先生,63,120,22,美科股份,太阳能设备
吴志刚家族,先生,88,120,-35,桃李面包,食品
伍伟国家族,先生,53,120,72,美心,餐饮
徐新,先生,57,120,-35,今日资本,投资
徐振华,先生,44,120,22,沐瞳科技,游戏
闫希军家族,先生,70,120,98,天士力,医药
严健军,先生,58,120,-19,致达,信息、金融、投资
余竹云,先生,50,120,46,中环控股,建筑工程
俞其兵,先生,58,120,-61,旗滨,玻璃
郁国祥,先生,53,120,-35,乐游科技,投资
张宁,女士,49,120,-19,彤程新材,化工原料
周敬良,先生,73,120,22,景田,饮料
曹建伟,先生,45,115,-122,晶盛机电,机电设备
耿建明、杨小青夫妇,先生,61,115,69,荣盛,房地产
何志平、张文莉夫妇,先生,58,115,-134,华建,投资
