排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
535,113,29,向文波,先生,61,三一,重型机械
536,110,-137,曾继疆家族,先生,61,宏达电子,电子器件制造
536,110,-42,陈湖文,先生,53,晨光,文具用品制造
536,110,-42,陈湖雄,先生,53,晨光,文具用品制造
536,110,-22,董才平,先生,60,中天钢铁,钢铁、投资
536,110,-267,高兴江,先生,60,永兴特钢,不锈钢
536,110,2,何旗,先生,41,均和,钢铁贸易
536,110,28,何著胜家族,先生,76,后英,耐火材料、钢铁、矿业
536,110,New ~,李杰,先生,48,极兔速递,物流快递
536,110,576,李琼,先生,46,昆仑万维,互联网游戏、投资
536,110,127,李卫伟,先生,46,三七互娱,网络游戏
536,110,441,刘洪林,先生,72,三木,化工、铜加工、电线电缆
536,110,2,孟庆山家族,先生,75,梅花,食用调味品
536,110,304,欧雷强,先生,55,百济神州,医药
536,110,308,沈亚,先生,52,唯品会,新零售
536,110,207,唐敖齐家族,先生,78,新泉股份,汽车配饰
536,110,-137,吴英,先生,59,美畅,新材料
536,110,-42,许连捷,先生,70,恒安,个人护理用品
536,110,-165,叶刚,先生,42,冬海集团,网络游戏、电商
536,110,-42,昝圣达,先生,60,综艺,新能源、信息科技、投资
536,110,-22,张克强,先生,63,华美国际,投资、房地产
536,110,-22,张永平,先生,62,秀水街,房地产
536,110,28,钟乃雄,先生,60,能兴,房地产、投资
536,110,-249,周剑,先生,47,迈为股份,智能制造装备
536,110,666,周亚辉,先生,46,昆仑万维,互联网游戏、投资
564,108,26,毛中吾,先生,61,三一,重型机械
565,105,138,曾开天,先生,未知,三七互娱,网络游戏
565,105,98,陈士良,先生,60,桐昆,化纤、房地产
565,105,56,方洪波,先生,56,美的,家电制造
565,105,98,顾伟,先生,58,兆驰股份,消费电子产品
565,105,25,何涛,先生,43,圆心科技,互联网医院
565,105,-229,花轩德家族,先生,80,中贝九洲,医药
565,105,-27,罗嘉瑞家族,先生,70,鹰君,房地产
565,105,-92,任道德,先生,63,泰康,保险
565,105,-27,施文博,先生,73,恒安,个人护理用品
565,105,138,汪顾亦珍家族,先生,106,德昌电机,工业产品
565,105,-71,王维,先生,42,行云集团,企业服务
565,105,138,吴波家族,先生,69,埃斯顿,机械装备制造
565,105,25,许晨晔,先生,52,腾讯,互联网服务
565,105,98,张世龙家族,先生,57,圣邦,模拟芯片
565,105,-1,章小华,先生,55,红狮控股,水泥
565,105,25,折生阳,先生,68,铂力特,金属增材制造
585,100,-91,陈林父子,先生,48,威高,医疗器械
585,100,-112,陈智松,先生,57,亿联网络,通信
585,100,36,邓耀家族,先生,89,百丽,服装与配饰
585,100,5,方玉友,先生,54,珀莱雅,化妆品
585,100,-91,傅明康家族,先生,60,日月股份,机械配件
585,100,-47,高云峰,先生,56,大族激光,激光设备
585,100,5,胡扬忠,先生,58,海康威视,视频监控产品
585,100,36,胡应湘,先生,88,合和实业,房地产、建筑工程
585,100,5,黄宏生家族,先生,67,创维,家用电器
585,100,-306,姜照柏,先生,60,鹏欣,乳业、房地产、投资
585,100,5,金磊,先生,58,长春高新,生物制药
585,100,78,李国宝家族,先生,84,东亚银行,银行业
585,100,5,李国庆,先生,53,荣盛控股,化纤
585,100,-165,李家权家族,先生,60,龙蟒,钛白粉、磷化工
585,100,5,李永庆,先生,59,荣盛控股,化纤
585,100,118,励建立,先生,51,科达利,锂电池结构件
585,100,-21,利蕴莲家族,先生,69,希慎兴业,房地产
585,100,-91,刘修才家族,先生,66,凯赛生物,生物材料
585,100,78,刘振东,先生,52,联东,房地产
585,100,-154,陆昂,女士,60,嘉德,投资、拍卖
